,Name,GrossTotalDomesticSales,Genre,MPAARating,Runtime,ProductionBudget,WidestRelease,DaysReleased,Tomatometer.Critic.Review....,AudienceScore,NumCriticReviews,NumUserReviews
316,Jai Ho,1264515,Foreign,Unrated,135,NA,195,21,NA,NA,NA,NA
317,Love on the Cloud (Wei Ai),271734,Foreign,Unrated,135,NA,17,37,NA,86,NA,75
318,2 States,2238174,Foreign,Unrated,135,NA,137,42,NA,66,2,1416
319,Kundo: Age of the Rampant,280958,Foreign,Unrated,135,NA,28,NA,82,63,11,431
320,Captain America: The Winter Soldier,257760692,Action,PG13,136,170,3938,140,89,92,254,269243
321,The Suspect (2014),218693,Foreign,Unrated,137,NA,20,28,75,65,8,470
322,Unbroken,113481605,Drama,PG13,137,65,"3,301",78,51,71,194,48597
323,The Tale of The Princess Kaguya,703232,Animation,PG,137,NA,29,161,NA,NA,NA,NA
324,Get On Up,30703100,Drama,PG13,138,NA,"2,469",48,80,70,148,24051
325,Noah,100206256,Drama,PG13,138,125,"3,571",84,77,42,216,120339
326,Son of God,59165787,Drama,PG13,138,22,"3,271",98,21,73,67,41401
327,Hasee Toh Phasee,646035,Foreign,Unrated,140,NA,88,28,NA,59,0,541
328,Leviathan (2014),1092800,Foreign,R,140,NA,80,81,99,81,112,11736
329,Raja Natwarlal,131105,Foreign,Unrated,141,NA,73,10,NA,NA,NA,NA
330,Frankie & Alice (2014),695876,Drama,R,141,NA,171,28,21,60,37,11397
331,Into The Storm,47119388,Thriller,R,141,50,"3,434",98,22,43,139,40774
332,Singham Returns,1232018,Foreign,Unrated,142,NA,127,35,NA,46,NA,726
333,The Amazing Spider-Man 2,200676069,Action,PG13,142,180,4324,108,53,67,256,217905
334,Humpty Sharma Ki Dulhania,380011,Foreign,Unrated,143,NA,101,3,NA,45,NA,601
335,Anchorman 2 (R-Rated Extended Cut),2184339,Comdey,R,143,NA,"1,317",21,NA,NA,NA,NA
336,Divergent,150157400,Action,PG13,143,85,"3,936",112,40,70,198,135129
337,Action Jackson (2014),256872,Foreign,Unrated,144,NA,125,14,NA,NA,NA,NA
338,The Hobbit: The Battle of the Five Armies,245439076,Fantasy,PG13,144,250,3875,107,61,76,218,206795
339,Gone Girl,150947895,Thriller,R,145,61,"3,284",147,88,88,281,118590
340,Tazza: The Hidden Card,251555,Foreign,Unrated,147,NA,11,35,NA,71,NA,109
341,Inherent Vice,8110975,Drama,R,148,NA,653,77,72,55,200,27748
342,The Raid 2,2627209,Foreign,R,148,NA,954,84,79,87,155,22793
343,Kick,2472695,Foreign,Unrated,150,NA,180,28,NA,50,2,1487
344,Exodus: Gods and Kings,64251541,Drama,PG13,150,140,"3,503",77,28,37,172,56556
345,Mr. Turner,3958500,Drama,R,150,NA,120,101,98,60,171,13232
346,Bang Bang,2546172,Foreign,Unrated,153,NA,271,18,NA,51,3,1349
347,Shaadi Ke Side Effects,921277,Foreign,Unrated,153,NA,108,28,NA,29,2,715
348,P.K.,10616104,Foreign,Unrated,153,NA,272,56,83,85,6,3868
